eng,fi
<b>Welcome to the Singing task!</b>,<b>Tervetuloa Laulutehtävään!</b>
"In this task, you will need headphones. Put them on and connect them to your device. Press the Play button to hear a test sound from your headphones.<br>Adjust the volume to comfortable level.<br>If there were issues with sound playback or you don't want to sing now, press Home button to return.<br>In the next page you must allow microphone usage to continue the singing test.<br><img id=""playButton"" src=""././images/imagesSinging/play-btn.svg"" onclick=""testaudio.play()"">","Tässä tehtävässä tarvitset kuulokkeita. Laita ne päähäsi ja yhdistä laitteeseesi. Paina Soita-nappia kuullaksesi testiäänen kuulokkeistasi.<br>Säädä äänenvoimakkuus itsellesi mukavaksi tietokoneen asetuksista.<br>Jos ääntä ei kuulu tai et halua nyt laulaa, voit palata aloitusnäyttöön painamalla Alku-nappia<br>Seuraavalla sivulla sinun pitää sallia mikrofonin käyttö sivulla tehdäksesi laulutestin.<br><br><img id=""playButton"" src=""././images/imagesSinging/play-btn.svg""  onclick=""testaudio.play()"">"
"Please select the microphone you would like to use. If you see only one selection, everything is fine.","Valitse mikrofoni, jota haluat käyttää alta.Jos valintavaihtoehtoja on vain yksi, asia on jo kunnossa."
Select this microphone,Valitse tämä mikrofoni
Let's check next that the microphone of your device and audio saving works.<br><br>Keep the device close to your mouth.Press the Record button and then say “Singing is for everyone” with your normal speaking voice.,"Tarkistetaan seuraavaksi, että laitteesi mikrofoni toimii ja äänen tallennus onnistuu.<br><br>Pidä laitetta lähellä suutasi.Paina Tallenna-nappia ja sano sitten “Laulu kuuluu kaikille” normaalilla puheäänellä."
Record again,Tallenna uudestaan
"Recording ok, continue","Tallennus ok, jatketaan"
Your microphone and audio saving are working!,Mikrofoni ja äänen tallennus toimivat!
"<div id=""recordingLabel"">Recording..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>After you have sung the tone, wait a few seconds or press Next to continue.<br>","<div id=""recordingLabel"">Tallennetaan..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>Kun olet laulanut sävelen, odota muutama sekunti tai jatka painamalla Seuraava.<br>"
"<div id=""recordingLabel"">Recording..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>After you have sung the melody, press Next to continue.<br>","<div id=""recordingLabel"">Tallennetaan..</div><img id=""recButton"" src=""./images/imagesSinging/rec-btn.svg""><br><div class=""progress-light-grey jspsych-content"" id=""progbarcont"" style=""width:20vw;height:3vh;""><div class=""progress-grey"" id=""progbar"" style=""width:0%;height:100%;""></div></div><br>Kun olet laulanut melodian, jatka painamalla Seuraava.<br>"
