keys,eng,fi
instruction0,"In this task, you will hear a song which has a click track on top of it<br><img id='music' src='./images/music.svg'></img>",Tässä tehtävässä kuulet laulun jonka kanssa soi klikkiraita<br><img id='music' src='./images/music.svg'></img>
instruction1,"The click track sounds like this:<br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>","Klikkiraita kuulostaa tältä:<br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/training/metronome_0.mp3"" type=""audio/mp3""></audio>"
instruction2,The beat of the song and the click track may or may not be aligned with each other,Kappale ja klikkiraita ovat joko samassa tahdissa tai eri tahdissa
instruction3,"Next, some examples",Seuravassa muutama esimerkki
instruction4,"Not aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>","Eri tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/notAligned.mp3"" type=""audio/mp3""></audio>"
instruction5,"Aligned: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>","Samassa tahdissa: <br><br><audio autoplay controls><source src=""./songs/beatProductionAudio/beatModified/baseSongs/example/aligned.mp3"" type=""audio/mp3""></audio>"
instruction6,Your task is to find the best alignment between the click and the song,Tehtäväsi on löytää paras kohdistus klikkiraidan ja kappaleen välille
instruction7,"By clicking these buttons, you will be able to align the song and the click in a few different ways:<br><img id='music' src='./images/exampleBAT.png'></img>",Näiden painikkeiden avulla voit kohdistaa kappaleen ja klikkiraidan muutamalla eri tavalla:<br><img id='music' src='./images/exampleBAT.png'></img>
instruction8,Let's start with a practice trial,Aloitetaan harjoittelutehtävällä
instruction9,"Your task is to click through the buttons until you find the best aligment between the song and the click. Once you find it, click Continue","Tehtäväsi on koskettaa ja kokeilla eri painikkeita, kunnes löydät parhaan kohdistuksen kappaleen ja klikkiraidan välille. Kun löydät sen, paina Jatka"
instruction10,"Each trial has a time limit, so try to find the best alignment as quickly as you can","Jokaisella osiolla on aikaraja, joten yritä löytää paras ajoitus mahdollisimman nopeasti"
instruction11,"Ok, let's continue with the task","Selvä, jatketaan varsinaisella tehtävällä"
instruction12,Next you will hear 6 songs. Align the click track with the beat of the song,Seuravaaksi kuulet 6 laulua. Säädää kilikkiraita laulun tahtiin
adjustBeat,Adjust the beat<br>,Säädä tahdistusta<br>
openPage,Beat alignment task,Tahdin kohdistustehtävä
howSatisfied,How satisfied were you with the alignment that you found between this song and the click?,Kuinka tyytyväinen olit tämän kappaleen ja klikkiraidan väliseen kohdistukseen?
